Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
10916.ppm;60;60;0;0;60;60;43
0_381.ppm;128;128;0;0;128;128;43
1127.ppm;97;97;0;0;97;97;43
0_223.ppm;128;128;0;0;128;128;43
9662.ppm;77;77;0;0;77;77;43
0_125.ppm;128;128;0;0;128;128;43
0_845.ppm;128;128;0;0;128;128;43
2749.ppm;85;85;0;0;85;85;43
0_1330.ppm;128;128;0;0;128;128;43
0_1716.ppm;128;128;0;0;128;128;43
1810.ppm;34;34;0;0;34;34;43
0_892.ppm;128;128;0;0;128;128;43
0_1462.ppm;128;128;0;0;128;128;43
4271.ppm;68;68;0;0;68;68;43
4290.ppm;88;88;0;0;88;88;43
6631.ppm;44;44;0;0;44;44;43
10725.ppm;40;40;0;0;40;40;43
0_1317.ppm;128;128;0;0;128;128;43
0_1494.ppm;128;128;0;0;128;128;43
0_582.ppm;128;128;0;0;128;128;43
0_260.ppm;128;128;0;0;128;128;43
0_1493.ppm;128;128;0;0;128;128;43
6075.ppm;86;86;0;0;86;86;43
0_0.ppm;128;128;0;0;128;128;43
0_2.ppm;128;128;0;0;128;128;43
5397.ppm;84;84;0;0;84;84;43
0_395.ppm;128;128;0;0;128;128;43
1087.ppm;78;78;0;0;78;78;43
0_1722.ppm;128;128;0;0;128;128;43
0_63.ppm;128;128;0;0;128;128;43
0_1416.ppm;128;128;0;0;128;128;43
4493.ppm;80;80;0;0;80;80;43
0_689.ppm;128;128;0;0;128;128;43
0_1223.ppm;128;128;0;0;128;128;43
11964.ppm;38;38;0;0;38;38;43
0_733.ppm;128;128;0;0;128;128;43
9703.ppm;70;70;0;0;70;70;43
8338.ppm;99;99;0;0;99;99;43
14260.ppm;80;80;0;0;80;80;43
0_1125.ppm;128;128;0;0;128;128;43
9277.ppm;35;35;0;0;35;35;43
0_827.ppm;128;128;0;0;128;128;43
12924.ppm;77;77;0;0;77;77;43
9647.ppm;66;66;0;0;66;66;43
0_1758.ppm;128;128;0;0;128;128;43
0_903.ppm;128;128;0;0;128;128;43
0_1479.ppm;128;128;0;0;128;128;43
0_443.ppm;128;128;0;0;128;128;43
10909.ppm;72;72;0;0;72;72;43
0_1636.ppm;128;128;0;0;128;128;43
0_149.ppm;128;128;0;0;128;128;43
0_333.ppm;128;128;0;0;128;128;43
0_717.ppm;128;128;0;0;128;128;43
0_1696.ppm;128;128;0;0;128;128;43
7706.ppm;80;80;0;0;80;80;43
0_1439.ppm;128;128;0;0;128;128;43
0_341.ppm;128;128;0;0;128;128;43
6196.ppm;87;87;0;0;87;87;43
11968.ppm;36;36;0;0;36;36;43
2590.ppm;53;53;0;0;53;53;43
6433.ppm;70;70;0;0;70;70;43
0_1772.ppm;128;128;0;0;128;128;43
0_300.ppm;128;128;0;0;128;128;43
0_182.ppm;128;128;0;0;128;128;43
4273.ppm;66;66;0;0;66;66;43
0_1383.ppm;128;128;0;0;128;128;43
4830.ppm;76;76;0;0;76;76;43
3834.ppm;51;51;0;0;51;51;43
0_218.ppm;128;128;0;0;128;128;43
8533.ppm;71;71;0;0;71;71;43
0_976.ppm;128;128;0;0;128;128;43
1183.ppm;62;62;0;0;62;62;43
1153.ppm;149;149;0;0;149;149;43
0_1295.ppm;128;128;0;0;128;128;43
0_412.ppm;128;128;0;0;128;128;43
0_852.ppm;128;128;0;0;128;128;43
3932.ppm;63;63;0;0;63;63;43
318.ppm;73;73;0;0;73;73;43
2059.ppm;64;64;0;0;64;64;43
8262.ppm;75;75;0;0;75;75;43
13056.ppm;36;36;0;0;36;36;43
0_864.ppm;128;128;0;0;128;128;43
11383.ppm;67;67;0;0;67;67;43
0_470.ppm;128;128;0;0;128;128;43
0_1695.ppm;128;128;0;0;128;128;43
10508.ppm;86;86;0;0;86;86;43
9643.ppm;67;67;0;0;67;67;43
9097.ppm;64;64;0;0;64;64;43
0_669.ppm;128;128;0;0;128;128;43
297.ppm;62;62;0;0;62;62;43
0_180.ppm;128;128;0;0;128;128;43
0_1618.ppm;128;128;0;0;128;128;43
0_523.ppm;128;128;0;0;128;128;43
0_451.ppm;128;128;0;0;128;128;43
0_792.ppm;128;128;0;0;128;128;43
0_600.ppm;128;128;0;0;128;128;43
0_1364.ppm;128;128;0;0;128;128;43
0_1220.ppm;128;128;0;0;128;128;43
0_1028.ppm;128;128;0;0;128;128;43
11343.ppm;67;67;0;0;67;67;43
14434.ppm;73;73;0;0;73;73;43
6080.ppm;95;95;0;0;95;95;43
8253.ppm;62;62;0;0;62;62;43
4482.ppm;82;82;0;0;82;82;43
12813.ppm;74;74;0;0;74;74;43
14883.ppm;88;88;0;0;88;88;43
0_770.ppm;128;128;0;0;128;128;43
2737.ppm;62;62;0;0;62;62;43
7375.ppm;66;66;0;0;66;66;43
0_1105.ppm;128;128;0;0;128;128;43
9288.ppm;57;57;0;0;57;57;43
0_1192.ppm;128;128;0;0;128;128;43
6691.ppm;70;70;0;0;70;70;43
0_1284.ppm;128;128;0;0;128;128;43
0_1225.ppm;128;128;0;0;128;128;43
1128.ppm;89;89;0;0;89;89;43
11521.ppm;83;83;0;0;83;83;43
13402.ppm;68;68;0;0;68;68;43
0_271.ppm;128;128;0;0;128;128;43
1661.ppm;41;41;0;0;41;41;43
0_1441.ppm;128;128;0;0;128;128;43
0_396.ppm;128;128;0;0;128;128;43
0_766.ppm;128;128;0;0;128;128;43
11959.ppm;35;35;0;0;35;35;43
10797.ppm;56;56;0;0;56;56;43
0_33.ppm;128;128;0;0;128;128;43
0_678.ppm;128;128;0;0;128;128;43
0_1437.ppm;128;128;0;0;128;128;43
4817.ppm;131;131;0;0;131;131;43
0_530.ppm;128;128;0;0;128;128;43
0_394.ppm;128;128;0;0;128;128;43
0_568.ppm;128;128;0;0;128;128;43
0_1711.ppm;128;128;0;0;128;128;43
5637.ppm;69;69;0;0;69;69;43
0_1706.ppm;128;128;0;0;128;128;43
6834.ppm;80;80;0;0;80;80;43
11131.ppm;68;68;0;0;68;68;43
0_1763.ppm;128;128;0;0;128;128;43
0_604.ppm;128;128;0;0;128;128;43
0_1484.ppm;128;128;0;0;128;128;43
0_587.ppm;128;128;0;0;128;128;43
10038.ppm;74;74;0;0;74;74;43
0_1177.ppm;128;128;0;0;128;128;43
11374.ppm;70;70;0;0;70;70;43
13481.ppm;82;82;0;0;82;82;43
1091.ppm;78;78;0;0;78;78;43
0_1658.ppm;128;128;0;0;128;128;43
9008.ppm;60;60;0;0;60;60;43
0_666.ppm;128;128;0;0;128;128;43
11932.ppm;104;104;0;0;104;104;43
0_85.ppm;128;128;0;0;128;128;43
0_440.ppm;128;128;0;0;128;128;43
0_1096.ppm;128;128;0;0;128;128;43
0_1118.ppm;128;128;0;0;128;128;43
0_208.ppm;128;128;0;0;128;128;43
0_19.ppm;128;128;0;0;128;128;43
0_1288.ppm;128;128;0;0;128;128;43
0_1384.ppm;128;128;0;0;128;128;43
0_862.ppm;128;128;0;0;128;128;43
10034.ppm;80;80;0;0;80;80;43
14057.ppm;92;92;0;0;92;92;43
0_105.ppm;128;128;0;0;128;128;43
3146.ppm;84;84;0;0;84;84;43
0_1531.ppm;128;128;0;0;128;128;43
0_419.ppm;128;128;0;0;128;128;43
4686.ppm;67;67;0;0;67;67;43
0_482.ppm;128;128;0;0;128;128;43
2778.ppm;92;92;0;0;92;92;43
0_1662.ppm;128;128;0;0;128;128;43
6507.ppm;100;100;0;0;100;100;43
12186.ppm;91;91;0;0;91;91;43
205.ppm;65;65;0;0;65;65;43
10576.ppm;74;74;0;0;74;74;43
5851.ppm;75;75;0;0;75;75;43
197.ppm;54;54;0;0;54;54;43
1292.ppm;98;98;0;0;98;98;43
0_1515.ppm;128;128;0;0;128;128;43
0_461.ppm;128;128;0;0;128;128;43
3579.ppm;71;71;0;0;71;71;43
4279.ppm;88;88;0;0;88;88;43
6059.ppm;80;80;0;0;80;80;43
478.ppm;66;66;0;0;66;66;43
0_1671.ppm;128;128;0;0;128;128;43
6200.ppm;111;111;0;0;111;111;43
2825.ppm;112;112;0;0;112;112;43
9506.ppm;55;55;0;0;55;55;43
6210.ppm;71;71;0;0;71;71;43
5216.ppm;100;100;0;0;100;100;43
15781.ppm;61;61;0;0;61;61;43
14889.ppm;69;69;0;0;69;69;43
10440.ppm;138;138;0;0;138;138;43
0_1156.ppm;128;128;0;0;128;128;43
9886.ppm;37;37;0;0;37;37;43
10127.ppm;68;68;0;0;68;68;43
0_1533.ppm;128;128;0;0;128;128;43
3824.ppm;76;76;0;0;76;76;43
0_998.ppm;128;128;0;0;128;128;43
0_1237.ppm;128;128;0;0;128;128;43
0_562.ppm;128;128;0;0;128;128;43
0_1226.ppm;128;128;0;0;128;128;43
12337.ppm;65;65;0;0;65;65;43
5387.ppm;111;111;0;0;111;111;43
0_1602.ppm;128;128;0;0;128;128;43
0_38.ppm;128;128;0;0;128;128;43
5470.ppm;74;74;0;0;74;74;43
7111.ppm;35;35;0;0;35;35;43
6351.ppm;146;146;0;0;146;146;43
7384.ppm;78;78;0;0;78;78;43
6624.ppm;61;61;0;0;61;61;43
11942.ppm;78;78;0;0;78;78;43
14895.ppm;68;68;0;0;68;68;43
11928.ppm;92;92;0;0;92;92;43
15275.ppm;76;76;0;0;76;76;43
7503.ppm;67;67;0;0;67;67;43
8113.ppm;74;74;0;0;74;74;43
0_1333.ppm;128;128;0;0;128;128;43
2838.ppm;89;89;0;0;89;89;43
2157.ppm;84;84;0;0;84;84;43
9692.ppm;60;60;0;0;60;60;43
10645.ppm;74;74;0;0;74;74;43
12345.ppm;73;73;0;0;73;73;43
3590.ppm;121;121;0;0;121;121;43
6347.ppm;126;126;0;0;126;126;43
0_212.ppm;128;128;0;0;128;128;43
12142.ppm;35;35;0;0;35;35;43
8359.ppm;116;116;0;0;116;116;43
0_61.ppm;128;128;0;0;128;128;43
8326.ppm;71;71;0;0;71;71;43
6093.ppm;73;73;0;0;73;73;43
3520.ppm;88;88;0;0;88;88;43
351.ppm;95;95;0;0;95;95;43
0_1110.ppm;128;128;0;0;128;128;43
0_980.ppm;128;128;0;0;128;128;43
14941.ppm;70;70;0;0;70;70;43
12028.ppm;68;68;0;0;68;68;43
16037.ppm;82;82;0;0;82;82;43
5211.ppm;105;105;0;0;105;105;43
15077.ppm;68;68;0;0;68;68;43
7504.ppm;75;75;0;0;75;75;43
0_1316.ppm;128;128;0;0;128;128;43
11797.ppm;70;70;0;0;70;70;43
0_142.ppm;128;128;0;0;128;128;43
0_1683.ppm;128;128;0;0;128;128;43
0_1617.ppm;128;128;0;0;128;128;43
0_815.ppm;128;128;0;0;128;128;43
858.ppm;82;82;0;0;82;82;43
0_494.ppm;128;128;0;0;128;128;43
301.ppm;70;70;0;0;70;70;43
0_189.ppm;128;128;0;0;128;128;43
7139.ppm;45;45;0;0;45;45;43
0_931.ppm;128;128;0;0;128;128;43
10738.ppm;40;40;0;0;40;40;43
10846.ppm;87;87;0;0;87;87;43
12050.ppm;62;62;0;0;62;62;43
0_1294.ppm;128;128;0;0;128;128;43
0_375.ppm;128;128;0;0;128;128;43
0_249.ppm;128;128;0;0;128;128;43
8732.ppm;85;85;0;0;85;85;43
4277.ppm;77;77;0;0;77;77;43
10748.ppm;102;102;0;0;102;102;43
0_184.ppm;128;128;0;0;128;128;43
9486.ppm;61;61;0;0;61;61;43
1682.ppm;49;49;0;0;49;49;43
0_1655.ppm;128;128;0;0;128;128;43
819.ppm;60;60;0;0;60;60;43
10750.ppm;77;77;0;0;77;77;43
0_1530.ppm;128;128;0;0;128;128;43
6357.ppm;158;158;0;0;158;158;43
10776.ppm;64;64;0;0;64;64;43
7140.ppm;39;39;0;0;39;39;43
0_1627.ppm;128;128;0;0;128;128;43
0_1604.ppm;128;128;0;0;128;128;43
1978.ppm;48;48;0;0;48;48;43
1088.ppm;72;72;0;0;72;72;43
9726.ppm;50;50;0;0;50;50;43
0_207.ppm;128;128;0;0;128;128;43
4180.ppm;80;80;0;0;80;80;43
11342.ppm;59;59;0;0;59;59;43
9649.ppm;69;69;0;0;69;69;43
8587.ppm;71;71;0;0;71;71;43
0_544.ppm;128;128;0;0;128;128;43
0_726.ppm;128;128;0;0;128;128;43
2741.ppm;77;77;0;0;77;77;43
0_833.ppm;128;128;0;0;128;128;43
10772.ppm;70;70;0;0;70;70;43
10795.ppm;140;140;0;0;140;140;43
9795.ppm;80;80;0;0;80;80;43
0_1702.ppm;128;128;0;0;128;128;43
0_1103.ppm;128;128;0;0;128;128;43
157.ppm;57;57;0;0;57;57;43
11345.ppm;68;68;0;0;68;68;43
15779.ppm;56;56;0;0;56;56;43
9620.ppm;62;62;0;0;62;62;43
0_854.ppm;128;128;0;0;128;128;43
9296.ppm;35;35;0;0;35;35;43
0_1797.ppm;128;128;0;0;128;128;43
0_1475.ppm;128;128;0;0;128;128;43
0_415.ppm;128;128;0;0;128;128;43
0_1375.ppm;128;128;0;0;128;128;43
4210.ppm;73;73;0;0;73;73;43
3014.ppm;111;111;0;0;111;111;43
10774.ppm;65;65;0;0;65;65;43
0_958.ppm;128;128;0;0;128;128;43
0_221.ppm;128;128;0;0;128;128;43
14436.ppm;76;76;0;0;76;76;43
7509.ppm;76;76;0;0;76;76;43
0_1385.ppm;128;128;0;0;128;128;43
2718.ppm;70;70;0;0;70;70;43
3522.ppm;78;78;0;0;78;78;43
0_185.ppm;128;128;0;0;128;128;43
8114.ppm;100;100;0;0;100;100;43
0_1448.ppm;128;128;0;0;128;128;43
0_237.ppm;128;128;0;0;128;128;43
0_753.ppm;128;128;0;0;128;128;43
14885.ppm;77;77;0;0;77;77;43
3291.ppm;56;56;0;0;56;56;43
0_893.ppm;128;128;0;0;128;128;43
9735.ppm;61;61;0;0;61;61;43
13599.ppm;75;75;0;0;75;75;43
4281.ppm;79;79;0;0;79;79;43
0_1723.ppm;128;128;0;0;128;128;43
13261.ppm;80;80;0;0;80;80;43
6245.ppm;102;102;0;0;102;102;43
4647.ppm;69;69;0;0;69;69;43
0_253.ppm;128;128;0;0;128;128;43
12927.ppm;85;85;0;0;85;85;43
8238.ppm;91;91;0;0;91;91;43
12138.ppm;63;63;0;0;63;63;43
0_1140.ppm;128;128;0;0;128;128;43
2182.ppm;100;100;0;0;100;100;43
2058.ppm;76;76;0;0;76;76;43
5630.ppm;65;65;0;0;65;65;43
0_785.ppm;128;128;0;0;128;128;43
2730.ppm;38;38;0;0;38;38;43
321.ppm;35;35;0;0;35;35;43
0_1171.ppm;128;128;0;0;128;128;43
0_436.ppm;128;128;0;0;128;128;43
0_904.ppm;128;128;0;0;128;128;43
0_453.ppm;128;128;0;0;128;128;43
6484.ppm;82;82;0;0;82;82;43
10659.ppm;73;73;0;0;73;73;43
0_1390.ppm;128;128;0;0;128;128;43
0_723.ppm;128;128;0;0;128;128;43
0_775.ppm;128;128;0;0;128;128;43
8951.ppm;44;44;0;0;44;44;43
15067.ppm;70;70;0;0;70;70;43
0_606.ppm;128;128;0;0;128;128;43
10735.ppm;41;41;0;0;41;41;43
0_1698.ppm;128;128;0;0;128;128;43
10820.ppm;47;47;0;0;47;47;43
0_754.ppm;128;128;0;0;128;128;43
6345.ppm;116;116;0;0;116;116;43
6067.ppm;75;75;0;0;75;75;43
10751.ppm;90;90;0;0;90;90;43
0_517.ppm;128;128;0;0;128;128;43
0_424.ppm;128;128;0;0;128;128;43
0_694.ppm;128;128;0;0;128;128;43
0_1168.ppm;128;128;0;0;128;128;43
0_1069.ppm;128;128;0;0;128;128;43
9112.ppm;80;80;0;0;80;80;43
9641.ppm;62;62;0;0;62;62;43
11781.ppm;132;132;0;0;132;132;43
15791.ppm;81;81;0;0;81;81;43
0_1319.ppm;128;128;0;0;128;128;43
9664.ppm;98;98;0;0;98;98;43
0_188.ppm;128;128;0;0;128;128;43
2596.ppm;78;78;0;0;78;78;43
9786.ppm;55;55;0;0;55;55;43
0_1025.ppm;128;128;0;0;128;128;43
12929.ppm;80;80;0;0;80;80;43
0_1746.ppm;128;128;0;0;128;128;43
10775.ppm;68;68;0;0;68;68;43
15657.ppm;41;41;0;0;41;41;43
1683.ppm;48;48;0;0;48;48;43
0_407.ppm;128;128;0;0;128;128;43
0_423.ppm;128;128;0;0;128;128;43
0_780.ppm;128;128;0;0;128;128;43
12344.ppm;76;76;0;0;76;76;43
0_1752.ppm;128;128;0;0;128;128;43
0_493.ppm;128;128;0;0;128;128;43
0_1573.ppm;128;128;0;0;128;128;43
0_671.ppm;128;128;0;0;128;128;43
9716.ppm;85;85;0;0;85;85;43
0_68.ppm;128;128;0;0;128;128;43
15166.ppm;77;77;0;0;77;77;43
1695.ppm;88;88;0;0;88;88;43
0_128.ppm;128;128;0;0;128;128;43
8358.ppm;105;105;0;0;105;105;43
0_650.ppm;128;128;0;0;128;128;43
6216.ppm;77;77;0;0;77;77;43
10566.ppm;70;70;0;0;70;70;43
12109.ppm;38;38;0;0;38;38;43
15202.ppm;82;82;0;0;82;82;43
9787.ppm;49;49;0;0;49;49;43
0_438.ppm;128;128;0;0;128;128;43
0_338.ppm;128;128;0;0;128;128;43
10582.ppm;93;93;0;0;93;93;43
0_797.ppm;128;128;0;0;128;128;43
0_78.ppm;128;128;0;0;128;128;43
0_936.ppm;128;128;0;0;128;128;43
0_1380.ppm;128;128;0;0;128;128;43
0_969.ppm;128;128;0;0;128;128;43
0_581.ppm;128;128;0;0;128;128;43
1297.ppm;59;59;0;0;59;59;43
0_284.ppm;128;128;0;0;128;128;43
0_12.ppm;128;128;0;0;128;128;43
0_1090.ppm;128;128;0;0;128;128;43
0_1353.ppm;128;128;0;0;128;128;43
1861.ppm;34;34;0;0;34;34;43
3282.ppm;37;37;0;0;37;37;43
0_1197.ppm;128;128;0;0;128;128;43
0_1113.ppm;128;128;0;0;128;128;43
10039.ppm;74;74;0;0;74;74;43
5849.ppm;89;89;0;0;89;89;43
7512.ppm;74;74;0;0;74;74;43
8674.ppm;65;65;0;0;65;65;43
0_1264.ppm;128;128;0;0;128;128;43
8675.ppm;60;60;0;0;60;60;43
0_64.ppm;128;128;0;0;128;128;43
9499.ppm;53;53;0;0;53;53;43
0_772.ppm;128;128;0;0;128;128;43
3328.ppm;70;70;0;0;70;70;43
5652.ppm;65;65;0;0;65;65;43
15784.ppm;71;71;0;0;71;71;43
10913.ppm;82;82;0;0;82;82;43
0_67.ppm;128;128;0;0;128;128;43
0_484.ppm;128;128;0;0;128;128;43
0_1428.ppm;128;128;0;0;128;128;43
8245.ppm;102;102;0;0;102;102;43
0_1068.ppm;128;128;0;0;128;128;43
0_272.ppm;128;128;0;0;128;128;43
0_1654.ppm;128;128;0;0;128;128;43
9100.ppm;70;70;0;0;70;70;43
3303.ppm;57;57;0;0;57;57;43
15529.ppm;80;80;0;0;80;80;43
250.ppm;69;69;0;0;69;69;43
0_1227.ppm;128;128;0;0;128;128;43
9637.ppm;60;60;0;0;60;60;43
1718.ppm;35;35;0;0;35;35;43
990.ppm;65;65;0;0;65;65;43
0_1250.ppm;128;128;0;0;128;128;43
6056.ppm;75;75;0;0;75;75;43
3243.ppm;80;80;0;0;80;80;43
150.ppm;52;52;0;0;52;52;43
0_536.ppm;128;128;0;0;128;128;43
0_1049.ppm;128;128;0;0;128;128;43
6632.ppm;43;43;0;0;43;43;43
3526.ppm;81;81;0;0;81;81;43
0_169.ppm;128;128;0;0;128;128;43
0_799.ppm;128;128;0;0;128;128;43
14396.ppm;63;63;0;0;63;63;43
0_907.ppm;128;128;0;0;128;128;43
0_1560.ppm;128;128;0;0;128;128;43
33.ppm;110;110;0;0;110;110;43
1684.ppm;39;39;0;0;39;39;43
104.ppm;147;147;0;0;147;147;43
14162.ppm;65;65;0;0;65;65;43
0_768.ppm;128;128;0;0;128;128;43
0_1561.ppm;128;128;0;0;128;128;43
0_1166.ppm;128;128;0;0;128;128;43
0_886.ppm;128;128;0;0;128;128;43
3935.ppm;77;77;0;0;77;77;43
8968.ppm;80;80;0;0;80;80;43
0_148.ppm;128;128;0;0;128;128;43
1296.ppm;78;78;0;0;78;78;43
0_995.ppm;128;128;0;0;128;128;43
0_1035.ppm;128;128;0;0;128;128;43
0_74.ppm;128;128;0;0;128;128;43
9515.ppm;60;60;0;0;60;60;43
12312.ppm;67;67;0;0;67;67;43
0_527.ppm;128;128;0;0;128;128;43
14398.ppm;61;61;0;0;61;61;43
9023.ppm;70;70;0;0;70;70;43
7508.ppm;76;76;0;0;76;76;43
11115.ppm;73;73;0;0;73;73;43
6738.ppm;65;65;0;0;65;65;43
3586.ppm;116;116;0;0;116;116;43
9842.ppm;48;48;0;0;48;48;43
9709.ppm;64;64;0;0;64;64;43
0_674.ppm;128;128;0;0;128;128;43
5846.ppm;53;53;0;0;53;53;43
0_1787.ppm;128;128;0;0;128;128;43
13483.ppm;94;94;0;0;94;94;43
857.ppm;70;70;0;0;70;70;43
3951.ppm;49;49;0;0;49;49;43
1152.ppm;88;88;0;0;88;88;43
0_716.ppm;128;128;0;0;128;128;43
3949.ppm;48;48;0;0;48;48;43
1717.ppm;41;41;0;0;41;41;43
15658.ppm;67;67;0;0;67;67;43
6623.ppm;124;124;0;0;124;124;43
0_452.ppm;128;128;0;0;128;128;43
10431.ppm;89;89;0;0;89;89;43
289.ppm;70;70;0;0;70;70;43
9785.ppm;65;65;0;0;65;65;43
0_859.ppm;128;128;0;0;128;128;43
3953.ppm;63;63;0;0;63;63;43
195.ppm;56;56;0;0;56;56;43
0_228.ppm;128;128;0;0;128;128;43
0_1741.ppm;128;128;0;0;128;128;43
0_350.ppm;128;128;0;0;128;128;43
0_1340.ppm;128;128;0;0;128;128;43
0_393.ppm;128;128;0;0;128;128;43
0_1148.ppm;128;128;0;0;128;128;43
0_133.ppm;128;128;0;0;128;128;43
11385.ppm;71;71;0;0;71;71;43
0_601.ppm;128;128;0;0;128;128;43
0_1189.ppm;128;128;0;0;128;128;43
0_1619.ppm;128;128;0;0;128;128;43
0_1215.ppm;128;128;0;0;128;128;43
4678.ppm;73;73;0;0;73;73;43
9698.ppm;68;68;0;0;68;68;43
4278.ppm;78;78;0;0;78;78;43
0_267.ppm;128;128;0;0;128;128;43
0_1287.ppm;128;128;0;0;128;128;43
0_554.ppm;128;128;0;0;128;128;43
0_366.ppm;128;128;0;0;128;128;43
0_1498.ppm;128;128;0;0;128;128;43
0_261.ppm;128;128;0;0;128;128;43
0_1351.ppm;128;128;0;0;128;128;43
149.ppm;53;53;0;0;53;53;43
4359.ppm;76;76;0;0;76;76;43
3521.ppm;81;81;0;0;81;81;43
0_986.ppm;128;128;0;0;128;128;43
11963.ppm;37;37;0;0;37;37;43
10782.ppm;74;74;0;0;74;74;43
5646.ppm;92;92;0;0;92;92;43
0_240.ppm;128;128;0;0;128;128;43
10798.ppm;61;61;0;0;61;61;43
0_1666.ppm;128;128;0;0;128;128;43
4813.ppm;88;88;0;0;88;88;43
2255.ppm;59;59;0;0;59;59;43
0_233.ppm;128;128;0;0;128;128;43
0_418.ppm;128;128;0;0;128;128;43
0_340.ppm;128;128;0;0;128;128;43
0_487.ppm;128;128;0;0;128;128;43
202.ppm;53;53;0;0;53;53;43
323.ppm;50;50;0;0;50;50;43
0_1685.ppm;128;128;0;0;128;128;43
8264.ppm;66;66;0;0;66;66;43
3518.ppm;70;70;0;0;70;70;43
0_549.ppm;128;128;0;0;128;128;43
10791.ppm;72;72;0;0;72;72;43
0_1358.ppm;128;128;0;0;128;128;43
8535.ppm;70;70;0;0;70;70;43
0_623.ppm;128;128;0;0;128;128;43
9725.ppm;52;52;0;0;52;52;43
576.ppm;86;86;0;0;86;86;43
9733.ppm;63;63;0;0;63;63;43
0_1579.ppm;128;128;0;0;128;128;43
0_1229.ppm;128;128;0;0;128;128;43
0_1597.ppm;128;128;0;0;128;128;43
0_1425.ppm;128;128;0;0;128;128;43
1675.ppm;44;44;0;0;44;44;43
